"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"2019-12-13",361.05,365.21,354.64,358.39,6.5709,358.39
"2019-12-16",362.55,383.61,362.5,381.5,18.1742,381.5
"2019-12-17",378.99,385.5,375.9,378.99,8.4968,378.99
"2019-12-18",380.63,395.22,380.58,393.15,14.121,393.15
"2019-12-19",397.32,406.85,396.5,404.04,18.1071,404.04
"2019-12-20",410.29,413,400.19,405.59,14.7527,405.59
"2019-12-23",411.78,422.01,410,419.22,13.3196,419.22
"2019-12-24",418.36,425.47,412.69,425.25,8.0547,425.25
"2019-12-26",427.91,433.48,426.35,430.94,10.6339,430.94
"2019-12-27",435,435.31,426.11,430.38,9.9457,430.38
"2019-12-30",428.79,429,409.26,414.7,12.5864,414.7
"2019-12-31",405,421.29,402.08,418.33,10.2857,418.33
"2020-01-02",424.5,430.7,421.71,430.26,9.5321,430.26
"2020-01-03",440.5,454,436.92,443.01,17.7785,443.01
"2020-01-06",440.47,451.56,440,451.54,10.133,451.54
"2020-01-07",461.4,471.63,453.36,469.06,17.8821,469.06
"2020-01-08",473.7,498.49,468.23,492.14,31.1443,492.14
"2020-01-09",497.1,498.8,472.87,481.34,28.4404,481.34
"2020-01-10",481.79,484.94,473.7,478.15,12.9595,478.15
"2020-01-13",493.5,525.63,492,524.86,26.5176,524.86
"2020-01-14",544.26,547.41,524.9,537.92,28.9962,537.92
"2020-01-15",529.76,537.84,516.79,518.5,17.3688,518.5
"2020-01-16",493.75,514.46,492.17,513.49,21.7367,513.49
"2020-01-17",507.61,515.67,503.16,510.5,13.6291,510.5
"2020-01-21",530.25,548.58,528.41,547.2,17.8035,547.2
"2020-01-22",571.89,594.5,559.1,569.56,31.369,569.56
"2020-01-23",564.25,582,555.6,572.2,19.651,572.2
"2020-01-24",570.63,573.86,554.26,564.82,14.3536,564.82
"2020-01-27",541.99,564.44,539.28,558.02,13.6081,558.02
"2020-01-28",568.49,576.81,558.08,566.9,11.7885,566.9
"2020-01-29",575.69,589.8,567.43,580.99,17.8015,580.99
"2020-01-30",632.42,650.88,618,640.81,29.0057,640.81
"2020-01-31",640,653,632.52,650.57,15.7193,650.57
"2020-02-03",673.69,786.14,673.52,780,47.2335,780
"2020-02-04",882.96,968.99,833.88,887.06,60.9388,887.06
"2020-02-05",823.26,845.98,704.11,734.7,48.4238,734.7
"2020-02-06",699.92,795.83,687,748.96,39.8808,748.96
"2020-02-07",730.55,769.75,730,748.07,17.0635,748.07
"2020-02-10",800,819.99,752.4,771.28,24.6892,771.28
"2020-02-11",768.79,783.51,758,774.38,11.6975,774.38
"2020-02-12",777.87,789.75,763.37,767.29,12.0225,767.29
"2020-02-13",741.84,818,735,804,26.2893,804
"2020-02-14",787.22,812.97,785.5,800.03,15.6937,800.03
"2020-02-18",841.6,860,832.36,858.4,16.3817,858.4
"2020-02-19",923.5,944.78,901.02,917.42,25.423,917.42
"2020-02-20",911.95,912,859.94,899.41,17.6349,899.41
"2020-02-21",906.98,913.06,880.45,901,14.3148,901
"2020-02-24",839,863.5,822.2,833.79,15.1922,833.79
"2020-02-25",849,856.6,787,799.91,17.2905,799.91
"2020-02-26",782.5,813.31,776.11,778.8,14.0855,778.8
"2020-02-27",730,739.77,669,679,24.2772,679
"2020-02-28",629.7,690.52,611.52,667.99,24.5642,667.99
"2020-03-02",711.26,743.69,686.67,743.62,20.195,743.62
"2020-03-03",805,806.98,716.11,745.51,25.784,745.51
"2020-03-04",763.96,766.52,724.73,749.5,15.049,749.5
"2020-03-05",723.77,745.75,718.07,724.54,10.8527,724.54
"2020-03-06",690,707,684.27,703.48,12.6629,703.48
"2020-03-09",605.39,663,605,608,17.0737,608
"2020-03-10",659.43,668,608,645.33,15.5944,645.33
"2020-03-11",640.2,653.58,613,634.23,13.3225,634.23
"2020-03-12",580.89,594.5,546.25,560.55,18.9091,560.55
"2020-03-13",595,607.57,502,546.62,22.6403,546.62
"2020-03-16",469.5,494.87,442.17,445.07,20.4895,445.07
"2020-03-17",440.01,471.85,396,430.2,23.9946,430.2
"2020-03-18",389,404.86,350.51,361.22,23.7862,361.22
"2020-03-19",374.7,452,358.46,427.64,30.1955,427.64
"2020-03-20",438.2,477,425.79,427.53,28.2855,427.53
"2020-03-23",433.6,442,410.5,434.29,16.4545,434.29
"2020-03-24",477.3,513.69,474,505,22.8952,505
"2020-03-25",545.25,557,511.11,539.25,21.2227,539.25
"2020-03-26",547.39,560,512.25,528.16,17.3807,528.16
"2020-03-27",505,525.8,494.03,514.36,14.3774,514.36
"2020-03-30",510.26,516.65,491.23,502.13,11.9981,502.13
"2020-03-31",501.25,542.96,497,524,17.7715,524
"2020-04-01",504,513.95,475.1,481.56,13.3532,481.56
"2020-04-02",481.03,494.26,446.4,454.47,19.8584,454.47
"2020-04-03",509.5,515.49,468.39,480.01,22.5621,480.01
"2020-04-06",511.2,521,497.96,516.24,14.9018,516.24
"2020-04-07",545,565,532.34,545.45,17.9198,545.45
"2020-04-08",554.2,557.21,533.33,548.84,12.656,548.84
"2020-04-09",562.09,575.18,557.11,573,13.65,573
"2020-04-13",590.16,652,580.53,650.95,22.4754,650.95
"2020-04-14",698.97,741.88,692.43,709.89,30.5765,709.89
"2020-04-15",742,753.13,710,729.83,23.577,729.83
"2020-04-16",716.94,759.45,706.72,745.21,20.6579,745.21
"2020-04-17",772.28,774.95,747.66,753.89,13.1282,753.89
"2020-04-20",732.7,765.57,712.21,746.36,14.7466,746.36
"2020-04-21",730.12,753.33,673.79,686.72,20.2091,686.72
"2020-04-22",703.98,734,688.71,732.11,14.2248,732.11
"2020-04-23",727.6,734,703.13,705.63,13.1685,705.63
